ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,52,2.38,"[J2, J4, J5, J3, J1]"
2,43,52,2.41,"[J2, J4, J5, J1, J3]"
3,44,52,2.36,"[J2, J4, J5, J1, J3]"
4,45,52,2.30,"[J2, J4, J5, J3, J1]"
5,46,52,2.73,"[J2, J4, J5, J3, J1]"
6,47,52,2.61,"[J5, J2, J4, J1, J3]"
7,48,52,2.31,"[J5, J2, J4, J3, J1]"
8,49,52,2.36,"[J2, J4, J5, J3, J1]"
9,50,52,2.31,"[J2, J4, J5, J1, J3]"
10,51,52,2.23,"[J2, J4, J5, J3, J1]"
