ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,7835,2.93,"[J4, J1, J2, J3, J7, J10, J5, J6, J9, J8]"
2,43,7821,2.86,"[J5, J6, J4, J3, J1, J10, J2, J7, J9, J8]"
3,44,7738,2.97,"[J6, J2, J4, J1, J3, J8, J10, J9, J7, J5]"
4,45,7821,2.91,"[J5, J6, J4, J3, J1, J7, J10, J2, J9, J8]"
5,46,7821,2.90,"[J5, J3, J4, J1, J10, J2, J6, J7, J9, J8]"
6,47,8076,2.96,"[J1, J3, J6, J2, J4, J10, J9, J8, J7, J5]"
7,48,7821,2.89,"[J5, J3, J4, J1, J6, J9, J7, J10, J2, J8]"
8,49,7720,3.03,"[J5, J4, J2, J1, J3, J8, J6, J10, J9, J7]"
9,50,7767,2.99,"[J3, J4, J5, J1, J10, J2, J8, J6, J9, J7]"
10,51,7767,3.03,"[J4, J5, J3, J1, J10, J2, J8, J6, J9, J7]"
