trabajo,maquina,inicio,fin
5,1,0,7
5,2,7,11
5,3,11,17
5,4,17,26
2,1,7,11
2,2,11,17
2,3,17,24
2,4,26,31
4,1,11,17
4,2,17,24
4,3,24,29
4,4,31,39
1,1,17,22
1,2,24,32
1,3,32,38
1,4,39,46
3,1,22,31
3,2,32,37
3,3,38,46
3,4,46,52
