ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,52,2.57,"[J5, J2, J4, J1, J3]"
2,43,52,2.64,"[J2, J4, J5, J1, J3]"
3,44,52,2.43,"[J2, J4, J5, J1, J3]"
4,45,52,2.35,"[J2, J4, J5, J3, J1]"
5,46,52,2.34,"[J2, J4, J5, J3, J1]"
6,47,52,2.34,"[J5, J2, J4, J1, J3]"
7,48,52,2.54,"[J5, J2, J4, J3, J1]"
8,49,52,2.44,"[J5, J2, J4, J1, J3]"
9,50,52,2.76,"[J2, J4, J5, J1, J3]"
10,51,52,2.39,"[J2, J4, J5, J3, J1]"
