ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,52,2.06,"[J5, J2, J4, J3, J1]"
2,43,52,2.11,"[J2, J4, J5, J1, J3]"
3,44,52,2.13,"[J2, J4, J5, J1, J3]"
4,45,52,2.09,"[J2, J4, J5, J3, J1]"
5,46,52,2.59,"[J2, J4, J5, J3, J1]"
6,47,52,2.46,"[J5, J2, J4, J1, J3]"
7,48,52,2.00,"[J5, J2, J4, J3, J1]"
8,49,52,2.21,"[J2, J4, J5, J3, J1]"
9,50,52,2.16,"[J2, J4, J5, J1, J3]"
10,51,52,1.99,"[J2, J4, J5, J3, J1]"
