ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,52,3.23,"[J2, J4, J5, J3, J1]"
2,43,52,2.47,"[J2, J4, J5, J1, J3]"
3,44,52,2.47,"[J2, J4, J5, J1, J3]"
4,45,52,2.48,"[J2, J4, J5, J3, J1]"
5,46,52,2.76,"[J2, J4, J5, J3, J1]"
6,47,52,2.61,"[J5, J2, J4, J1, J3]"
7,48,52,2.71,"[J5, J2, J4, J3, J1]"
8,49,52,2.63,"[J2, J4, J5, J3, J1]"
9,50,52,2.51,"[J2, J4, J5, J1, J3]"
10,51,52,2.45,"[J2, J4, J5, J3, J1]"
