trabajo,maquina,inicio,fin
2,1,0,4
2,2,4,10
2,3,10,17
2,4,17,22
4,1,4,10
4,2,10,17
4,3,17,22
4,4,22,30
5,1,10,17
5,2,17,21
5,3,22,28
5,4,30,39
3,1,17,26
3,2,26,31
3,3,31,39
3,4,39,45
1,1,26,31
1,2,31,39
1,3,39,45
1,4,45,52
